l m n	f1	f2	f3	q1	q2	q3
2 2 0 1.525100 -1.156800 0.129200 0.700000 1.418700 -0.499000
2 2 1 1.367300 -1.026000 0.162800 0.100000 0.543600 -0.473100
2 2 2 1.322300 -1.025700 0.186000 -0.100000 0.420600 -0.425600
2 1 0 0.600000 -0.233900 0.417500 -0.300000 2.356100 -0.227700
2 1 1 0.580000 -0.241600 0.470800 -0.330000 0.950100 -0.207200
2 1 2 0.566000 -0.274000 0.496000 -0.100000 0.417300 -0.277400
2 0 0 0.443700 -0.073900 0.335000 4.000000 -1.955000 0.142000
2 0 1 0.418500 -0.076800 0.435500 1.250000 -0.635900 0.161400
2 0 2 0.373400 -0.079400 0.630600 0.560000 -0.258900 0.303400
2 -1 0 0.344100 0.029300 2.001000 2.000000 0.107800 5.006900
2 -1 1 0.316500 0.030100 2.341500 0.610000 0.027600 13.168300
2 -1 2 0.269600 0.031500 2.775500 0.290000 0.027600 6.471500
2 -2 0 0.293800 0.078200 1.354600 1.670000 0.419200 1.470000
2 -2 1 0.252800 0.092100 1.334400 0.455000 0.172900 1.361700
2 -2 2 0.187300 0.111700 1.332200 0.185000 0.126600 1.366100
3 3 0 1.895600 -1.304300 0.181800 0.900000 2.343000 -0.481000
3 3 1 1.856600 -1.281800 0.193400 0.227400 0.817300 -0.473100
3 3 2 1.800400 -1.255800 0.213300 0.040000 0.544500 -0.453900
3 2 0 1.148100 -0.555200 0.300200 0.831300 2.377300 -0.365500
3 2 1 1.122600 -0.547100 0.326400 0.230000 0.802500 -0.368400
3 2 2 1.098900 -0.555000 0.356900 0.100000 0.480400 -0.378400
3 1 0 0.834500 -0.240500 0.409500 23.845000 -20.724000 0.0383700
3 1 1 0.810500 -0.234200 0.466000 8.853000 -7.850600 0.0341800
3 1 2 0.768400 -0.225200 0.580500 2.180000 -1.627300 0.113600
3 0 0 0.687300 -0.0928200 0.347900 6.784100 -3.611200 0.0948000
3 0 1 0.668700 -0.0915500 0.402100 2.007500 -0.993000 0.1229700
3 0 2 0.634300 -0.0891500 0.511700 0.900000 -0.340900 0.267900
3 -1 0 0.575100 0.0250800 3.136000 3.046400 0.116200 -0.281200
3 -1 1 0.558400 0.0251400 3.415400 1.200000 -0.192800 0.103700
3 -1 2 0.527100 0.0256100 3.801100 1.000000 -0.442400 0.0246700
3 -2 0 0.515800 0.0819500 1.408400 2.900000 0.335600 2.305000
3 -2 1 0.495100 0.0857700 1.426900 0.900000 0.129500 1.614200
3 -2 2 0.456700 0.0930000 1.446900 0.490000 0.084800 1.973700
3 -3 0 0.467300 0.129600 1.325500 2.550000 0.657600 1.337800
3 -3 1 0.441300 0.138700 1.317800 0.790000 0.238100 1.370600
3 -3 2 0.393300 0.155500 1.303700 0.407000 0.163700 1.381900
4 4 0 2.300000 -1.505600 0.224400 1.192900 3.119100 -0.482500
4 4 1 2.300000 -1.517300 0.227100 0.300000 1.103400 -0.470300
4 4 2 2.300000 -1.539700 0.232100 0.110000 0.699700 -0.460700
4 3 0 1.686900 -0.886200 0.282200 1.481200 2.809600 -0.427100
4 3 1 1.672200 -0.884300 0.292300 0.445100 0.956900 -0.425000
4 3 2 1.652600 -0.888800 0.308100 0.220000 0.590400 -0.423600
4 2 0 1.270200 -0.468500 0.383500 -3.600000 7.774900 -0.149100
4 2 1 1.246200 -0.458000 0.413900 -1.500000 2.860100 -0.139200
4 2 2 1.202500 -0.440100 0.476900 -1.500000 2.278400 -0.112400
4 1 0 1.050700 -0.247800 0.434800 14.000000 -9.824000 0.0904700
4 1 1 1.033700 -0.243900 0.469500 4.200000  -2.839900 0.108100
4 1 2 1.001900 -0.237400 0.539700 2.200000  -1.419500 0.137200
4 0 0 0.917500 -0.114400 0.351100 7.000000 -2.793400 0.170800
4 0 1 0.902800 -0.112700 0.384300 2.200000 -0.830800 0.202300
4 0 2 0.875100 -0.109600 0.451600 1.200000 -0.415900 0.268700
4 -1 0 0.790800 0.0202400 5.462800 4.600000 -0.403800 0.462900
4 -1 1 0.778500 0.0200500 5.854700 1.600000 -0.232300 0.230600
4 -1 2 0.754900 0.0198500 6.527200 1.600000 -0.813600 0.0316300
4 -2 0 0.729400 0.0784200 1.564600 4.000000 0.277700 2.064700
4 -2 1 0.715400 0.0797900 1.585200 1.320000 0.0869400 4.325500
4 -2 2 0.688500 0.0825900 1.613600 0.750000 0.0580300 3.797100
4 -3 0 0.672800 0.133800 1.341300 3.70000 0.582900 1.668100
4 -3 1 0.656200 0.137700 1.345600 1.180000 0.211100 1.412900
4 -3 2 0.624400 0.145400 1.351300 0.660000 0.138500 1.374200
4 -4 0 0.625600 0.180000 1.321800 3.400000 0.869600 1.407400
4 -4 1 0.606100 0.186900 1.316800 1.080000 0.309500 1.327900
4 -4 2 0.568600 0.200300 1.306800 0.598000 0.201500 1.376500
