bin_start,bin_end,count
0.0,10.0,65073
10.0,20.0,7672
20.0,30.0,4573
30.0,40.0,3109
40.0,50.0,2213
50.0,60.0,1575
60.0,70.0,1225
70.0,80.0,861
80.0,90.0,743
90.0,100.0,558
100.0,110.0,465
110.0,120.0,326
120.0,130.0,299
130.0,140.0,251
140.0,150.0,229
150.0,160.0,183
160.0,170.0,178
170.0,180.0,131
180.0,190.0,126
190.0,200.0,105
200.0,210.0,93
210.0,220.0,90
220.0,230.0,44
230.0,240.0,61
240.0,250.0,49
250.0,260.0,60
260.0,270.0,48
270.0,280.0,32
280.0,290.0,42
290.0,300.0,21
300.0,310.0,22
310.0,320.0,28
320.0,330.0,28
330.0,340.0,23
340.0,350.0,11
350.0,360.0,20
360.0,370.0,8
370.0,380.0,10
380.0,390.0,15
390.0,400.0,5
400.0,410.0,8
410.0,420.0,6
420.0,430.0,9
430.0,440.0,6
440.0,450.0,6
450.0,460.0,7
460.0,470.0,9
470.0,480.0,5
480.0,490.0,4
490.0,500.0,2
500.0,510.0,4
510.0,520.0,1
520.0,530.0,2
530.0,540.0,3
540.0,550.0,8
550.0,560.0,0
560.0,570.0,7
570.0,580.0,3
580.0,590.0,3
590.0,600.0,1
600.0,610.0,1
610.0,620.0,5
620.0,630.0,3
630.0,640.0,0
640.0,650.0,1
650.0,660.0,2
660.0,670.0,0
670.0,680.0,0
680.0,690.0,4
690.0,700.0,0
700.0,710.0,1
710.0,720.0,3
720.0,730.0,0
730.0,740.0,1
740.0,750.0,0
750.0,760.0,0
760.0,770.0,1
770.0,780.0,0
780.0,790.0,0
790.0,800.0,0
800.0,810.0,0
810.0,820.0,1
820.0,830.0,0
830.0,840.0,0
840.0,850.0,1
850.0,860.0,1
860.0,870.0,0
870.0,880.0,0
880.0,890.0,1
890.0,900.0,0
900.0,910.0,0
910.0,920.0,0
920.0,930.0,0
930.0,940.0,0
940.0,950.0,1
950.0,960.0,2
960.0,970.0,1
970.0,980.0,0
980.0,990.0,2
990.0,1000.0,0
1000.0,1010.0,0
1010.0,1020.0,0
1020.0,1030.0,0
1030.0,1040.0,0
1040.0,1050.0,1
1050.0,1060.0,0
1060.0,1070.0,0
1070.0,1080.0,0
1080.0,1090.0,0
1090.0,1100.0,0
1100.0,1110.0,0
1110.0,1120.0,0
1120.0,1130.0,0
1130.0,1140.0,0
1140.0,1150.0,0
1150.0,1160.0,0
1160.0,1170.0,0
1170.0,1180.0,0
1180.0,1190.0,0
1190.0,1200.0,0
1200.0,1210.0,0
1210.0,1220.0,0
1220.0,1230.0,0
1230.0,1240.0,0
1240.0,1250.0,0
1250.0,1260.0,0
1260.0,1270.0,0
