"ns=2;s=Application.GbIL4EE.powerMain";"ns=2;s=Application.GbIL4EE.rpowerKSS_System_ND";"ns=2;s=Application.GbIL4EE.powerC1";"ns=2;s=Application.GbIL4EE.powerSP3";"ns=2;s=Application.GbIL4EE.powerSP4";"ns=2;s=Application.GbIL4EE.powerQ1";"ns=2;s=Application.GbIL4EE.powerX1";"ns=2;s=Application.GbIL4EE.powerZ1"
2104,861816;238,7962799;71;489,1978149;129,5604401;0;0,439560652;189,9230804
2588,445801;238,993042;71;492,7518311;129,3953705;0;0,604626358;186,0389252
2778,00415;239;71;493,984375;129,6102448;0;0,007812992;185,6180573
2896,733154;238,852478;72,64628601;511,2859802;137,6509247;0;0;185,8310852
3029,484375;238,2384491;80,0995636;565,6407471;153,6803436;0;0;196,2802124
3361,561523;238,475708;75,77235413;522,5210571;133,8285828;5,267836571;0,309872746;197,0807037
4236,958984;236,0970764;58,8956871;395,8167419;94,92998505;21,60519791;1,294441938;180,522934
2787,226074;239,5609589;72,27719116;512,3244019;136,6090698;88,14369202;3,857685328;195,8731232
1892,838867;240,8365784;80,5426712;603,3774414;170,2155304;178,8304138;4;216,2199097
1464,37561;238,8927612;47,03381729;361,7893982;104,5298157;128,1377869;4,892715931;126,1623154
1320,691772;238;50,521492;367,10495;96,88079834;112,6456985;3,683180332;165,9146423
1324,212769;237,689209;87,81983185;725,7871704;713,0335693;153,8845673;1,84798789;278,8468018
1351,258545;235,4052582;64,30988312;1059,911743;2868,490967;27,26133156;3,399680138;192,9764099
1366,741089;235,1679688;63,0574913;1831,124878;2698,10791;9,099730492;28,70184517;190,6251526
1375,555054;237,4480591;57,2861824;2716,396484;126,5230331;0,001735417;63,19854355;168,0496063
1370,387085;238,729599;62,59555435;3819,965088;139,0113525;0;73,23604584;187,5170288
1361,177979;238,0659943;63;4303,213867;140;0,462052971;74,46205139;188,5379486
1359,051392;236,0185852;62,62129211;5335,829102;140;0,810592294;61,74511719;95,02688599
1351,155273;235,3630829;61,84852982;6494,626953;140;0,424265832;34,6986084;-94,68547058
1339,475586;235,9743347;61,13817596;7559,802246;140;0,069088869;9,836220741;-269,0773621
1331,106323;236,5855713;61,45821762;6369,890137;139,7708893;0;4,770890713;-284,9003601
1349,625122;237,2534332;63,48578644;1884,06311;139,3371124;0,290002376;4,047109604;-158,1210785
1360,22937;237,9168854;64,12787628;1414,083374;139,9879913;0,563939989;4,424057484;77,57618713
1363,021362;237,9997711;63,00011444;1399,001221;139,5861053;5,76E-05;19,4862175;368,3157349
1361,594238;237,6530304;63,30187607;1392,660645;139,3177643;0;45,78310776;638,2700195
1361,186279;236,9365845;64,32814789;1383,055664;139,6040955;0;59,56456757;635,2116699
1493,315918;236,2107239;65,80195618;1382,380981;139,0000305;0,400988638;58,59906006;641,4057617
2167,723389;236,743866;66,95402527;1376,000488;139,351059;0,625956953;58,37404251;648,3726196
5276,995605;237;67;1381,062378;139,6343994;0,002554414;51,73643875;594,7081299
7386,354004;343,4839478;67,35529327;1382,63562;141,8723907;0;27,16574287;390,5980225
4561,882324;1091,434082;67,12201691;1367,225098;139,9761047;0;5,326802254;191,9414673
2154,718018;1838,927246;66,86687469;1333,356689;134,5142822;0,42759186;10,40319538;81,88739777
1956,329956;1926,544189;67,99881744;1338,994141;139,3699036;0,624773145;10,87427998;-148,1426697
1960,797729;1914,556763;67,71022034;1346,465454;139,9683685;0,031635016;4,058208942;-299,0206299
1965,863403;1913,722046;67,38056946;1347,574341;139,6362152;0;3,016776323;-238,5272827
1968,114014;1914,567749;67,99320984;1375,31189;139,0067902;0;3;-24,70711899
1969,590698;1920,201904;67,60940552;1425,151245;139;0,390596241;3;85,67044067
1968,854126;1923,869507;67,23256683;1436,457764;138,9679718;0,751767576;3,229714632;136,5873871
1961,837402;1924,205688;67,8168335;1366,290894;138,8782959;0,123636201;3,872861624;307,814209
1961,016602;1915,155762;67,71481323;1375,505615;138,417038;0;3,183689833;233,2317963
1963,994385;1906,585205;67,20359802;1401,897217;138,3594513;0;1,991513014;74,26835632
1968,375366;1903,651001;67,41196442;1384,937744;138,9999542;0,411946714;2,411946058;181,9300537
