bin_start,bin_end,count
-1.00,-1.00,6
-1.00,-1.00,7
-1.00,-0.99,0
-0.99,-0.99,6
-0.99,-0.99,7
-0.99,-0.99,11
-0.99,-0.99,3
-0.99,-0.98,5
-0.98,-0.98,13
-0.98,-0.98,1
-0.98,-0.98,2
-0.98,-0.98,5
-0.98,-0.97,2
-0.97,-0.97,8
-0.97,-0.97,10
-0.97,-0.97,10
-0.97,-0.97,4
-0.97,-0.96,5
-0.96,-0.96,3
-0.96,-0.96,6
-0.96,-0.96,4
-0.96,-0.96,2
-0.96,-0.95,8
-0.95,-0.95,11
-0.95,-0.95,8
-0.95,-0.95,9
-0.95,-0.95,11
-0.95,-0.94,8
-0.94,-0.94,5
-0.94,-0.94,9
-0.94,-0.94,6
-0.94,-0.94,8
-0.94,-0.93,10
-0.93,-0.93,5
-0.93,-0.93,5
-0.93,-0.93,2
-0.93,-0.93,12
-0.93,-0.92,8
-0.92,-0.92,7
-0.92,-0.92,6
-0.92,-0.92,10
-0.92,-0.92,9
-0.92,-0.91,11
-0.91,-0.91,10
-0.91,-0.91,18
-0.91,-0.91,8
-0.91,-0.91,6
-0.91,-0.90,11
-0.90,-0.90,13
-0.90,-0.90,8
-0.90,-0.90,9
-0.90,-0.90,5
-0.90,-0.89,5
-0.89,-0.89,6
-0.89,-0.89,6
-0.89,-0.89,7
-0.89,-0.89,12
-0.89,-0.88,10
-0.88,-0.88,8
-0.88,-0.88,7
-0.88,-0.88,9
-0.88,-0.88,11
-0.88,-0.87,13
-0.87,-0.87,11
-0.87,-0.87,8
-0.87,-0.87,14
-0.87,-0.87,11
-0.87,-0.86,9
-0.86,-0.86,8
-0.86,-0.86,9
-0.86,-0.86,16
-0.86,-0.86,8
-0.86,-0.85,19
-0.85,-0.85,10
-0.85,-0.85,12
-0.85,-0.85,7
-0.85,-0.85,6
-0.85,-0.84,8
-0.84,-0.84,14
-0.84,-0.84,14
-0.84,-0.84,11
-0.84,-0.84,14
-0.84,-0.83,8
-0.83,-0.83,15
-0.83,-0.83,9
-0.83,-0.83,12
-0.83,-0.83,13
-0.83,-0.82,12
-0.82,-0.82,38
-0.82,-0.82,11
-0.82,-0.82,9
-0.82,-0.82,10
-0.82,-0.81,19
-0.81,-0.81,10
-0.81,-0.81,17
-0.81,-0.81,7
-0.81,-0.81,21
-0.81,-0.80,19
-0.80,-0.80,13
-0.80,-0.80,16
-0.80,-0.80,14
-0.80,-0.80,15
-0.80,-0.79,12
-0.79,-0.79,18
-0.79,-0.79,26
-0.79,-0.79,18
-0.79,-0.79,16
-0.79,-0.78,14
