trial_id, experiment_id, run_id, algorithm, n, k, kmeans_running_time_s, running_time_s, spectral_clustering_running_time_s, adjusted_rand_index
1, 1, 1, kmeans, 1000, 2, 0.014498710632324219, 0.014503955841064453, , 0.24725052414727564
2, 2, 1, spectral_clustering, 1000, 2, , 1.3128845691680908, 1.3128790855407715, 0.2974133430140193
3, 3, 1, kmeans, 1800, 2, 0.04333686828613281, 0.04334115982055664, , 0.2596885283821731
4, 4, 1, spectral_clustering, 1800, 2, , 0.8069510459899902, 0.8069472312927246, 0.2888096148290704
5, 5, 1, kmeans, 2600, 2, 0.0070307254791259766, 0.007035255432128906, , 0.2520252246261291
6, 6, 1, spectral_clustering, 2600, 2, , 0.5063543319702148, 0.5063490867614746, 0.2929919060573647
7, 7, 1, kmeans, 3400, 2, 0.02293848991394043, 0.022944927215576172, , 0.2521384839794431
8, 8, 1, spectral_clustering, 3400, 2, , 0.5271096229553223, 0.5271039009094238, 0.2964975389437795
9, 9, 1, kmeans, 4200, 2, 0.0018360614776611328, 0.0018398761749267578, , 0.26187069837478644
10, 10, 1, spectral_clustering, 4200, 2, , 0.7461793422698975, 0.7461752891540527, 0.2924609804881659
11, 11, 1, kmeans, 5000, 2, 0.11115574836730957, 0.1111602783203125, , 0.2591364395681456
12, 12, 1, spectral_clustering, 5000, 2, , 2.1068367958068848, 2.106829881668091, 0.29189051251480586
