bin_start,bin_end,count
-1.00,-0.99,0
-0.99,-0.98,0
-0.98,-0.97,0
-0.97,-0.96,0
-0.96,-0.95,0
-0.95,-0.94,0
-0.94,-0.93,0
-0.93,-0.92,0
-0.92,-0.91,0
-0.91,-0.90,0
-0.90,-0.89,0
-0.89,-0.88,0
-0.88,-0.87,0
-0.87,-0.86,0
-0.86,-0.85,0
-0.85,-0.84,0
-0.84,-0.83,0
-0.83,-0.82,0
-0.82,-0.81,0
-0.81,-0.80,0
-0.80,-0.79,0
-0.79,-0.78,1
-0.78,-0.77,0
-0.77,-0.76,0
-0.76,-0.75,1
-0.75,-0.74,0
-0.74,-0.73,0
-0.73,-0.72,0
-0.72,-0.71,0
-0.71,-0.70,0
-0.70,-0.69,0
-0.69,-0.68,0
-0.68,-0.67,0
-0.67,-0.66,0
-0.66,-0.65,0
-0.65,-0.64,1
-0.64,-0.63,0
-0.63,-0.62,0
-0.62,-0.61,0
-0.61,-0.60,1
-0.60,-0.59,3
-0.59,-0.58,0
-0.58,-0.57,3
-0.57,-0.56,4
-0.56,-0.55,7
-0.55,-0.54,4
-0.54,-0.53,1
-0.53,-0.52,2
-0.52,-0.51,4
-0.51,-0.50,8
-0.50,-0.49,6
-0.49,-0.48,6
-0.48,-0.47,12
-0.47,-0.46,13
-0.46,-0.45,22
-0.45,-0.44,25
-0.44,-0.43,63
-0.43,-0.42,36
-0.42,-0.41,42
-0.41,-0.40,60
-0.40,-0.39,64
-0.39,-0.38,106
-0.38,-0.37,88
-0.37,-0.36,99
-0.36,-0.35,119
-0.35,-0.34,143
-0.34,-0.33,163
-0.33,-0.32,216
-0.32,-0.31,235
-0.31,-0.30,277
-0.30,-0.29,360
-0.29,-0.28,420
-0.28,-0.27,514
-0.27,-0.26,683
-0.26,-0.25,878
-0.25,-0.24,1030
-0.24,-0.23,1333
-0.23,-0.22,1767
-0.22,-0.21,2134
-0.21,-0.20,2708
-0.20,-0.19,3482
-0.19,-0.18,4579
-0.18,-0.17,6220
-0.17,-0.16,8291
-0.16,-0.15,10680
-0.15,-0.14,14758
-0.14,-0.13,19570
-0.13,-0.12,26014
-0.12,-0.11,35331
-0.11,-0.10,47034
-0.10,-0.09,63594
-0.09,-0.08,84844
-0.08,-0.07,110665
-0.07,-0.06,143643
-0.06,-0.05,179188
-0.05,-0.04,220275
-0.04,-0.03,263303
-0.03,-0.02,298172
-0.02,-0.01,327977
-0.01,0.00,338367
0.00,0.01,335340
0.01,0.02,316784
0.02,0.03,287601
0.03,0.04,246695
0.04,0.05,207826
0.05,0.06,170003
0.06,0.07,135658
0.07,0.08,107396
0.08,0.09,81616
0.09,0.10,63230
0.10,0.11,48804
0.11,0.12,36895
0.12,0.13,28738
0.13,0.14,22388
0.14,0.15,17218
0.15,0.16,13571
0.16,0.17,10632
0.17,0.18,8619
0.18,0.19,7094
0.19,0.20,5479
0.20,0.21,4653
0.21,0.22,3800
0.22,0.23,3187
0.23,0.24,2710
0.24,0.25,2297
0.25,0.26,1997
0.26,0.27,1710
0.27,0.28,1520
0.28,0.29,1343
0.29,0.30,1107
0.30,0.31,1008
0.31,0.32,844
0.32,0.33,770
0.33,0.34,705
0.34,0.35,595
0.35,0.36,554
0.36,0.37,479
0.37,0.38,457
0.38,0.39,408
0.39,0.40,366
0.40,0.41,341
0.41,0.42,312
0.42,0.43,267
0.43,0.44,222
0.44,0.45,212
0.45,0.46,189
0.46,0.47,176
0.47,0.48,171
0.48,0.49,114
0.49,0.50,120
0.50,0.51,110
0.51,0.52,107
0.52,0.53,89
0.53,0.54,77
0.54,0.55,70
0.55,0.56,66
0.56,0.57,71
0.57,0.58,72
0.58,0.59,49
0.59,0.60,57
0.60,0.61,45
0.61,0.62,48
0.62,0.63,40
0.63,0.64,35
0.64,0.65,30
0.65,0.66,47
0.66,0.67,32
0.67,0.68,26
0.68,0.69,22
0.69,0.70,17
0.70,0.71,23
0.71,0.72,19
0.72,0.73,15
0.73,0.74,15
0.74,0.75,19
0.75,0.76,12
0.76,0.77,15
0.77,0.78,13
0.78,0.79,10
0.79,0.80,14
0.80,0.81,5
0.81,0.82,11
0.82,0.83,10
0.83,0.84,8
0.84,0.85,8
0.85,0.86,11
0.86,0.87,7
0.87,0.88,10
0.88,0.89,7
0.89,0.90,7
0.90,0.91,6
0.91,0.92,3
0.92,0.93,7
0.93,0.94,5
0.94,0.95,9
0.95,0.96,9
0.96,0.97,5
0.97,0.98,5
0.98,0.99,6
0.99,1.00,3
1.00,1.01,4
1.01,1.02,6
1.02,1.03,3
1.03,1.04,5
1.04,1.05,7
1.05,1.06,6
1.06,1.07,5
1.07,1.08,3
1.08,1.09,4
1.09,1.10,10
1.10,1.11,3
1.11,1.12,5
1.12,1.13,7
1.13,1.14,3
1.14,1.15,2
1.15,1.16,2
1.16,1.17,5
1.17,1.18,4
1.18,1.19,2
1.19,1.20,1
1.20,1.21,1
1.21,1.22,3
1.22,1.23,5
1.23,1.24,5
1.24,1.25,6
1.25,1.26,0
1.26,1.27,2
1.27,1.28,1
1.28,1.29,4
1.29,1.30,2
1.30,1.31,4
1.31,1.32,0
1.32,1.33,2
1.33,1.34,1
1.34,1.35,0
1.35,1.36,5
1.36,1.37,0
1.37,1.38,0
1.38,1.39,2
1.39,1.40,1
1.40,1.41,1
1.41,1.42,1
1.42,1.43,3
1.43,1.44,3
1.44,1.45,1
1.45,1.46,0
1.46,1.47,4
1.47,1.48,2
1.48,1.49,4
1.49,1.50,1
1.50,1.51,1
1.51,1.52,5
1.52,1.53,4
1.53,1.54,0
1.54,1.55,2
1.55,1.56,1
1.56,1.57,0
1.57,1.58,0
1.58,1.59,0
1.59,1.60,1
1.60,1.61,1
1.61,1.62,1
1.62,1.63,0
1.63,1.64,1
1.64,1.65,0
1.65,1.66,1
1.66,1.67,0
1.67,1.68,0
1.68,1.69,0
1.69,1.70,0
1.70,1.71,0
1.71,1.72,2
1.72,1.73,0
1.73,1.74,0
1.74,1.75,0
1.75,1.76,1
1.76,1.77,0
1.77,1.78,0
1.78,1.79,0
1.79,1.80,1
1.80,1.81,0
1.81,1.82,0
1.82,1.83,1
1.83,1.84,0
1.84,1.85,0
1.85,1.86,1
1.86,1.87,1
1.87,1.88,0
1.88,1.89,0
1.89,1.90,0
1.90,1.91,0
1.91,1.92,0
1.92,1.93,2
1.93,1.94,0
