ds,y
2021-01-01,0.040973
2021-02-01,0.048127
2021-03-01,0.050503
2021-04-01,0.052452
2021-05-01,0.05327
2021-06-01,0.058306
2021-07-01,0.057389
2021-08-01,0.060061
2021-09-01,0.054669
2021-10-01,0.049147
2021-11-01,0.055072
2021-12-01,0.051494
2022-01-01,0.043922
2022-02-01,0.049716
2022-03-01,0.059651
2022-04-01,0.06685
2022-05-01,0.079719
2022-06-01,0.077889
2022-07-01,0.072491
2022-08-01,0.061742
2022-09-01,0.059617
2022-10-01,0.068313
2022-11-01,0.077314
2022-12-01,0.064941
2023-01-01,0.052183
2023-02-01,0.054601
2023-03-01,0.055563
2023-04-01,0.056181
2023-05-01,0.061057
2023-06-01,0.063376
2023-07-01,0.062882
2023-08-01,0.065995
2023-09-01,0.068173
2023-10-01,0.072202
2023-11-01,0.072926
2023-12-01,0.06688
2024-01-01,0.053299
2024-02-01,0.048568
2024-03-01,0.054865
2024-04-01,0.070509
2024-05-01,0.057927
2024-06-01,0.063604
2024-07-01,0.063729
2024-08-01,0.064566
2024-09-01,0.064316
2024-10-01,0.056481
2024-11-01,0.060279
2024-12-01,0.053635
2025-01-01,0.042483
2025-02-01,0.045593
2025-03-01,0.043428
